Date,CampaignName,Impressions,Clicks,Cost,Conversions
2026-08-24,Поиск_Москва_Категории_Целевой,5044,127,6111.23,4
2026-08-24,Поиск_РФ_Бренд_Транзакционный,4126,158,5964.74,8
2026-08-24,РСЯ_РФ_Интересы_Аудитории,15769,321,5017.65,6
2026-08-24,РСЯ_РФ_Ретаргетинг_Корзины,15444,287,5643.73,9
2026-08-25,Поиск_Москва_Категории_Целевой,4747,115,6381.98,4
2026-08-25,Поиск_РФ_Бренд_Транзакционный,3955,132,5222.4,6
2026-08-25,РСЯ_РФ_Интересы_Аудитории,17734,350,4303.17,10
2026-08-25,РСЯ_РФ_Ретаргетинг_Корзины,14047,235,3978.76,9
2026-08-26,Поиск_Москва_Категории_Целевой,5297,167,10740.21,6
2026-08-26,Поиск_РФ_Бренд_Транзакционный,4154,162,7323.15,7
2026-08-26,РСЯ_РФ_Интересы_Аудитории,22099,370,4799.29,8
2026-08-26,РСЯ_РФ_Ретаргетинг_Корзины,14824,224,3549.76,8
2026-08-27,Поиск_Москва_Категории_Целевой,5021,141,7886.72,4
2026-08-27,Поиск_РФ_Бренд_Транзакционный,3205,113,4263.89,5
2026-08-27,РСЯ_РФ_Интересы_Аудитории,15995,313,4861.28,6
2026-08-27,РСЯ_РФ_Ретаргетинг_Корзины,16798,337,5930.54,13
2026-08-28,Поиск_Москва_Категории_Целевой,4337,123,6978.41,5
2026-08-28,Поиск_РФ_Бренд_Транзакционный,4275,138,5503.43,6
2026-08-28,РСЯ_РФ_Интересы_Аудитории,23006,427,5281.69,10
2026-08-28,РСЯ_РФ_Ретаргетинг_Корзины,12379,206,3372.26,7
2026-08-29,Поиск_Москва_Категории_Целевой,3516,101,6416.13,3
2026-08-29,Поиск_РФ_Бренд_Транзакционный,3350,129,5882.77,6
2026-08-29,РСЯ_РФ_Интересы_Аудитории,18216,332,4652.33,8
2026-08-29,РСЯ_РФ_Ретаргетинг_Корзины,12381,250,4746.6,9
2026-08-30,Поиск_Москва_Категории_Целевой,3781,120,7437.39,4
2026-08-30,Поиск_РФ_Бренд_Транзакционный,3020,112,5410.52,5
2026-08-30,РСЯ_РФ_Интересы_Аудитории,16509,275,3474.91,6
2026-08-30,РСЯ_РФ_Ретаргетинг_Корзины,10251,201,3608.02,8
2026-08-31,Поиск_Москва_Категории_Целевой,5757,145,8277.81,5
2026-08-31,Поиск_РФ_Бренд_Транзакционный,3863,143,5679.29,6
2026-08-31,РСЯ_РФ_Интересы_Аудитории,18157,386,5306.0,9
2026-08-31,РСЯ_РФ_Ретаргетинг_Корзины,16636,272,3975.51,10
2026-09-01,Поиск_Москва_Категории_Целевой,5821,181,9319.13,5
2026-09-01,Поиск_РФ_Бренд_Транзакционный,4012,156,7340.59,7
2026-09-01,РСЯ_РФ_Интересы_Аудитории,21776,455,6899.79,9
2026-09-01,РСЯ_РФ_Ретаргетинг_Корзины,17592,297,4419.48,10
2026-09-02,Поиск_Москва_Категории_Целевой,5257,140,8940.15,4
2026-09-02,Поиск_РФ_Бренд_Транзакционный,4479,162,6848.14,8
2026-09-02,РСЯ_РФ_Интересы_Аудитории,21585,470,5410.03,11
2026-09-02,РСЯ_РФ_Ретаргетинг_Корзины,17727,325,5599.97,11
2026-09-03,Поиск_Москва_Категории_Целевой,4001,112,5155.31,3
2026-09-03,Поиск_РФ_Бренд_Транзакционный,4136,137,6845.36,6
2026-09-03,РСЯ_РФ_Интересы_Аудитории,24925,435,6104.27,11
2026-09-03,РСЯ_РФ_Ретаргетинг_Корзины,15474,295,5383.01,11
